 S_t,  S_T, S_T/S_t-1,       Sum,      N,         sum/N,     t 
99.78,  99.78,   -0.00005,    -0.00005,         1,  -0.00005010773162295035,      24229 
99.78,  99.75,   -0.00035,    -0.00040,         2,  -0.00020043092649191241,      47293 
99.75,  99.75,    0.00005,    -0.00035,         3,  -0.00011691217990021190,      76103 
99.76,  99.73,   -0.00025,    -0.00060,         4,  -0.00015033449579124336,     104361 
99.74,  99.73,   -0.00005,    -0.00065,         5,  -0.00013029366440919787,     107188 
99.74,  99.74,    0.00000,    -0.00065,         6,  -0.00010857805367433156,     149117 
99.75,  99.78,    0.00035,    -0.00030,         7,  -0.00004293907719324760,     175286 
99.78,  99.75,   -0.00025,    -0.00055,         8,  -0.00006889059412758247,     201517 
99.75,  99.75,   -0.00010,    -0.00065,         9,  -0.00007237448386053657,     236411 
99.75,  99.75,    0.00000,    -0.00065,        10,  -0.00006513703547448291,     245330 
99.75,  99.76,    0.00005,    -0.00060,        11,  -0.00005465886853477981,     264227 
99.77,  99.75,   -0.00015,    -0.00075,        12,  -0.00006263340701740765,     283464 
99.75,  99.78,    0.00030,    -0.00045,        13,  -0.00003468185223355945,     325674 
99.79,  99.79,    0.00000,    -0.00045,        14,  -0.00003220457707401948,     357688 
99.79,  99.79,    0.00000,    -0.00045,        15,  -0.00003005760526908485,     363175 
99.80,  99.81,    0.00015,    -0.00030,        16,  -0.00001878474671040270,     391660 
99.81,  99.81,   -0.00010,    -0.00040,        17,  -0.00002357301707357027,     420443 
99.81,  99.81,   -0.00005,    -0.00045,        18,  -0.00002504647061634607,     455816 
99.81,  99.79,   -0.00015,    -0.00060,        19,  -0.00003163839697808541,     493117 
99.80,  99.78,   -0.00015,    -0.00075,        20,  -0.00003757188371267817,     511791 
